ISN,Region,County,Child ID,Custody Start,Custody End,Custody Type,Custody Sequence Number,Custody Tracking Number
468,III-N,Rankin,54615,2001-04-09,2001-04-16,CORD,1,61YC00P00103
8,III-N,Rankin,54852,1994-08-25,2005-10-27,CORD,1,61YC00P00069
9,III-N,Rankin,54860,1994-08-25,2003-12-16,CORD,1,61YC00P00070
10,III-N,Rankin,54879,1994-08-25,2003-10-23,CORD,1,61YC00P00071
35,III-N,Rankin,54887,1994-08-25,2001-12-27,CORD,1,61YC00P00072
17,III-N,Rankin,55034,1995-07-19,2001-11-27,CORD,1,61YC00P00079
70,III-N,Rankin,55050,1996-12-10,2005-09-28,CORD,1,61YC00P00141
25,III-N,Rankin,55077,1999-02-24,2001-11-02,CORD,1,61YC00P00088
60,III-N,Rankin,55093,1998-02-27,2003-08-19,CORD,1,61YC00P00123
54,III-N,Yazoo,55158,1994-08-25,2003-08-27,CORD,1,82YC00P00038
63,III-N,Yazoo,55166,1994-07-18,2000-12-21,CORD,1,82YC00P00046
102,III-N,Yazoo,55174,1994-08-29,2006-06-20,CORD,1,82YC00P00176
103,III-N,Yazoo,55182,1994-08-29,2006-06-20,CORD,1,82YC00P00177
104,III-N,Yazoo,55190,1994-08-29,2006-06-20,CORD,1,82YC00P00178
105,III-N,Yazoo,55204,1994-08-29,2006-06-20,CORD,1,82YC00P00179
45,III-N,Yazoo,55212,1994-07-19,2001-08-13,CORD,1,82YC00P00031
51,III-N,Yazoo,55220,1994-07-19,2001-08-13,CORD,1,82YC00P00034
68,III-N,Yazoo,55263,1998-11-05,2003-03-31,CORD,1,82YC00P00050
58,III-N,Yazoo,55271,1998-11-06,2001-06-14,CORD,1,82YC00P00043
101,III-N,Yazoo,55298,1998-11-06,2001-06-14,CORD,1,82YC00P00175
11,III-N,Yazoo,55336,2000-06-08,2002-06-20,CORD,1,82YC00P00001
7540,III-N,Yazoo,55336,2003-08-12,2007-09-11,CORD,2,82YC00P00001
12,III-N,Yazoo,55344,2000-06-08,2002-06-20,CORD,1,82YC00P00002
7539,III-N,Yazoo,55344,2003-08-12,2007-09-11,CORD,2,82YC00P00002
13,III-N,Yazoo,55352,2000-06-08,2002-06-20,CORD,1,82YC00P00003
7538,III-N,Yazoo,55352,2003-08-12,2009-09-11,CORD,2,82YC00P00003
7,III-N,Rankin,55441,1998-07-09,2001-05-24,CORD,1,61YC00P00068
77,III-N,Rankin,55557,1999-03-31,2002-05-10,CORD,1,61YC00P00138
36,III-N,Rankin,55646,1994-02-10,2001-03-13,CORD,1,61YC00P00112
14,II-W,Holmes,55689,1999-07-29,2000-08-22,CORD,1,26YC00P00060
15,II-W,Holmes,55697,1999-07-29,2000-08-22,CORD,1,26YC00P00061
16,II-W,Holmes,55700,1999-07-29,2000-08-22,CORD,1,26YC00P00062
67,III-N,Rankin,55719,1999-11-04,2000-08-08,CORD,1,61YC00P00140
6068,III-N,Rankin,55719,2002-11-21,2004-04-27,CORD,2,61YC02P00251
69,III-N,Rankin,55727,1999-11-04,2000-08-08,CORD,1,61YC00P00142
6069,III-N,Rankin,55727,2002-11-21,2004-11-04,CORD,2,61YC02P00367
59,III-N,Rankin,55824,1999-10-19,2000-08-01,CORD,1,61YC00P00121
23,III-N,Yazoo,55905,1999-05-19,2001-07-17,CORD,1,82YC00P00017
26,III-N,Rankin,55980,2000-02-07,2006-11-21,CORD,1,61YC00P00092
1,III-N,Rankin,56006,1999-12-09,2000-08-14,CORD,1,61YC00P00064
64,III-N,Yazoo,56197,2000-04-26,2006-12-12,CORD,1,82YC00P00047
118,III-N,Yazoo,56200,2000-04-26,2006-04-21,CORD,1,82YC01P00029
119,III-N,Yazoo,56219,2000-04-26,2007-10-01,CORD,1,82YC01P00030
18099,III-N,Yazoo,56219,2008-01-09,2008-04-14,CORD,2,82YC08P00006
120,III-N,Yazoo,56227,2000-04-26,2007-07-23,CORD,1,82YC01P00032
16975,III-N,Yazoo,56227,2007-08-06,2010-05-28,CORD,2,82YC07P00063
49,III-N,Yazoo,56235,1989-07-12,2004-04-12,CORD,1,82YC00P00011
40,III-N,Yazoo,56278,1999-09-07,2000-07-25,CORD,1,82YC00P00026
114,III-N,Yazoo,56278,2001-02-27,2005-03-14,CORD,2,82YC00P00026
46,III-N,Yazoo,56286,1999-09-07,2000-07-25,CORD,1,82YC00P00032
115,III-N,Yazoo,56286,2001-02-27,2005-03-14,CORD,2,82YC00P00032
16046,III-N,Yazoo,56286,2007-05-22,2007-08-28,CORD,3,82YC07P00034
55,III-N,Yazoo,56294,1999-09-07,2000-07-25,CORD,1,82YC00P00039
116,III-N,Yazoo,56294,2001-02-27,2005-03-14,CORD,2,82YC00P00039
16094,III-N,Yazoo,56294,2007-04-16,2007-08-28,CORD,3,82YC07P00035
56,III-N,Yazoo,56308,1999-09-07,2000-07-25,CORD,1,82YC00P00040
117,III-N,Yazoo,56308,2001-02-27,2005-03-14,CORD,2,82YC00P00040
16279,III-N,Yazoo,56308,2007-05-22,2007-08-28,CORD,3,82YC07P00042
28,III-N,Rankin,56316,2000-01-18,2000-11-30,CORD,1,61YC00P00100
1193,III-N,Rankin,56316,2001-02-13,2001-11-01,CORD,2,61YC00P00100
38,III-N,Rankin,56324,2000-01-18,2000-11-30,CORD,1,61YC00P00102
1194,III-N,Rankin,56324,2001-02-13,2001-11-01,CORD,2,61YC00P00102
22,II-W,Holmes,56367,2000-02-24,2007-03-06,CORD,1,26YC00P00063
24,II-W,Holmes,56375,2000-02-24,2007-03-14,CORD,1,26YC00P00064
72,III-N,Rankin,56413,2000-02-19,2000-11-30,CORD,1,61YC00P00153
3778,II-W,Holmes,56510,1999-11-19,2001-07-10,CORD,1,26YC01P00221
7818,II-W,Holmes,56510,2002-09-16,2004-06-16,CORD,2,26YC01P00221
2,III-N,Rankin,56529,2000-07-31,2001-07-10,CORD,1,61YC00P00065
30,III-N,Yazoo,56898,2000-05-22,2004-11-10,CORD,1,82YC00P00019
14377,III-N,Rankin,57126,2006-08-29,2006-09-12,CORD,1,61YC06P00623
94,III-N,Rankin,57428,2000-09-26,2001-09-27,CORD,1,61YC00P00080
21,III-N,Yazoo,57657,2000-03-30,2003-12-02,CORD,1,82YC00P00013
29,III-N,Rankin,59374,2000-06-29,2001-01-04,CORD,1,61YC00P00101
2318,III-N,Rankin,59374,2001-05-17,2002-05-23,CORD,2,61YC01P00426
121,III-N,Yazoo,59536,2000-04-26,2001-08-06,CORD,1,82YC01P00033
4336,III-N,Yazoo,59773,2001-05-23,2002-09-09,CORD,1,82YC02P00049
7420,III-N,Yazoo,59773,2003-09-02,2007-11-06,CORD,2,82YC02P00151
4335,III-N,Yazoo,59781,2001-05-23,2002-09-09,CORD,1,82YC02P00048
7421,III-N,Yazoo,59781,2003-09-02,2008-09-17,CORD,2,82YC02P00048
4334,III-N,Yazoo,59811,2001-05-23,2002-09-09,CORD,1,82YC02P00047
7422,III-N,Yazoo,59811,2003-09-02,2008-09-17,CORD,2,82YC02P00047
5279,III-N,Yazoo,59838,2001-05-23,2002-09-09,CORD,1,82YC02P00149
4331,III-N,Yazoo,59846,2001-05-23,2002-09-09,CORD,1,82YC02P00044
7423,III-N,Yazoo,59846,2003-09-02,2005-11-14,CORD,2,82YC02P00044
4332,III-N,Yazoo,59862,2001-05-23,2002-09-09,CORD,1,82YC02P00045
5782,III-N,Yazoo,59862,2002-11-15,2008-11-03,CORD,2,82YC02P00045
4333,III-N,Yazoo,59870,2001-05-23,2002-09-09,CORD,1,82YC02P00046
65,III-N,Yazoo,59897,2000-07-25,2001-08-29,CORD,1,82YC00P00048
20826,III-N,Yazoo,59897,2009-01-08,2017-01-27,CORD,2,82YC09P00020
122,III-N,Yazoo,59900,2000-07-25,2001-08-29,CORD,1,82YC00P00139
20755,III-N,Yazoo,59900,2009-01-08,NULL,CORD,2,82YC09P00010
62,III-N,Yazoo,59919,2000-07-25,2001-08-29,CORD,1,82YC00P00045
20825,III-N,Yazoo,59919,2009-01-08,NULL,CORD,2,82YC09P00016
37080,III-N,Rankin,60364,2014-07-07,2014-07-15,CORD,1,61YC14P00836
5379,III-N,Yazoo,60445,2002-02-25,2012-08-28,CORD,1,82YC02P00187
5378,III-N,Yazoo,60461,2002-02-25,2009-11-24,CORD,1,82YC02P00186
27700,III-N,Rankin,60763,2011-04-15,2011-04-18,CORD,1,61YC11P00520
27701,III-N,Rankin,60771,2011-04-15,2011-04-18,CORD,1,61YC11P00517
7684,III-N,Yazoo,60992,2003-09-16,2004-05-19,CORD,1,82YC03P00059
42927,III-N,Yazoo,60992,2016-02-18,2018-05-29,CORD,2,82YC16P00023
66,III-N,Yazoo,61174,2000-07-13,2001-11-15,CORD,1,82YC00P00049
81,III-N,Rankin,61611,2000-08-10,2001-06-18,CORD,1,61YC00P00113
80,III-N,Rankin,61638,2000-08-10,2001-06-18,CORD,1,61YC00P00114
76,III-N,Rankin,62278,2000-08-17,2000-08-23,CORD,1,61YC00P00165
57,III-N,Rankin,62995,2000-07-12,2001-01-30,CORD,1,61YC00P00118
79,III-N,Rankin,63258,2000-08-22,2001-11-27,CORD,1,61YC00P00134
78,III-N,Rankin,63266,2000-08-22,2001-11-27,CORD,1,61YC00P00135
4435,III-N,Rankin,63711,2002-01-29,2006-05-01,CORD,1,61YC02P00257
98,III-N,Rankin,64289,2000-11-07,2005-03-03,CORD,1,61YC00P00355
89,III-N,Rankin,64580,2000-10-03,2005-04-05,CORD,1,61YC00P00260
83,III-N,Rankin,64742,2000-09-05,2003-03-27,CORD,1,61YC00P00180
14168,III-N,Yazoo,65536,2006-07-31,2007-01-10,CORD,1,82YC06P00118
14169,III-N,Yazoo,65544,2006-07-31,2007-01-10,CORD,1,82YC06P00116
5377,III-N,Yazoo,65862,2002-06-17,2005-01-25,CORD,1,82YC02P00185
86,III-N,Rankin,65935,2000-08-29,2000-09-14,CORD,1,61YC00P00190
82,III-N,Rankin,66672,2000-09-05,2003-03-27,CORD,1,61YC00P00181
30009,III-N,Yazoo,66729,2012-04-11,2012-05-22,CORD,1,82YC12P00088
84,III-N,Rankin,66834,2000-08-29,2000-09-28,CORD,1,61YC00P00183
12764,V-E,Simpson,66869,2005-11-30,2017-06-02,CORD,1,64YC05P00033
18301,III-S,Hinds,67881,2008-02-21,2009-02-26,CORD,1,25YC08P00209
10179,III-N,Rankin,68667,2004-09-15,2004-11-16,CORD,1,61YC04P00181
10180,III-N,Rankin,68675,2004-09-15,2004-11-16,CORD,1,61YC04P00488
25223,III-N,Rankin,69671,2010-07-29,2012-07-25,CORD,1,61YC10P00743
28633,III-N,Yazoo,70882,2011-10-12,2013-08-27,CORD,1,82YC11P00199
40038,III-N,Yazoo,70882,2015-06-01,2015-06-23,CORD,2,82YC15P00139
40996,III-N,Yazoo,70882,2015-08-18,2016-11-15,CORD,3,82YC15P00230
48958,III-N,Yazoo,70882,2017-07-17,2018-05-04,CORD,4,82YC17P00174
4483,III-N,Rankin,73474,2002-03-29,2002-11-25,CORD,1,61YC02P00109
41665,VI,Forrest,73547,2015-10-19,2017-11-01,CORD,1,18YC15P01333
4997,III-N,Rankin,73563,2002-07-11,2003-07-31,CORD,1,61YC02P00056
5386,III-N,Yazoo,74101,2002-01-03,2009-07-23,CORD,1,82YC02P00008
5387,III-N,Yazoo,74128,2002-01-03,2006-06-29,CORD,1,82YC02P00007
18453,III-N,Yazoo,74489,2008-03-10,2009-01-27,CORD,1,82YC00P00144
93,III-N,Rankin,74853,2000-10-16,2000-10-20,CORD,1,61YC00P00301
9838,III-N,Rankin,75604,2004-05-21,2004-07-26,CORD,1,61YC04P00369
99,III-N,Rankin,76864,2000-10-23,2001-04-05,CORD,1,61YC00P00368
6194,III-N,Rankin,77194,2003-02-05,2006-09-29,CORD,1,61YC03P00050
95,III-N,Rankin,78549,2000-11-01,2002-04-11,CORD,1,61YC00P00348
96,III-N,Rankin,78557,2000-11-01,2002-04-04,CORD,1,61YC00P00349
97,III-N,Rankin,78565,2000-11-01,2002-04-04,CORD,1,61YC00P00350
106,III-N,Yazoo,80004,2000-11-18,2004-11-10,CORD,1,82YC00P00181
27773,III-N,Rankin,80179,2011-03-27,2011-03-29,CORD,1,61YC11P00392
4307,III-N,Yazoo,80314,2002-02-25,2011-02-15,CORD,1,82YC02P00040
113,III-N,Yazoo,80322,2000-12-14,2016-09-15,CORD,1,82YC01P00028
21126,III-N,Yazoo,80950,2009-02-19,2010-08-24,CORD,1,82YC07P00085
25593,III-N,Yazoo,80950,2010-09-15,2010-11-09,CORD,2,82YC10P00169
26414,III-N,Yazoo,80950,2011-01-20,2011-02-15,CORD,3,82YC11P00009
27141,III-N,Yazoo,80950,2011-03-14,2011-11-14,CORD,4,82YC11P00086
3493,III-N,Yazoo,81582,2000-10-31,2002-05-30,CORD,1,82YC01P00050
108,III-N,Rankin,82252,2000-12-12,2003-03-04,CORD,1,61YC00P00416
6597,III-N,Rankin,82252,2003-04-14,2003-08-26,CORD,2,61YC00P00416
16043,V-E,Simpson,82333,2007-04-18,2007-05-09,CORD,1,64YC07P00019
19227,III-N,Rankin,82333,2008-06-10,2009-09-22,CORD,2,61YC08P00514
5634,III-N,Yazoo,82996,2002-03-21,2007-03-27,CORD,1,82YC01P00020
21824,III-N,Yazoo,82996,2009-06-30,2010-06-22,CORD,2,82YC09P00105
5635,III-N,Yazoo,83208,2002-03-21,2007-03-27,CORD,1,82YC01P00021
5636,III-N,Yazoo,83216,2002-03-21,2007-03-27,CORD,1,82YC01P00022
5637,III-N,Yazoo,83224,2002-03-21,2007-03-27,CORD,1,82YC01P00023
109,III-N,Rankin,83313,2000-11-21,2001-08-14,CORD,1,61YC00P00427
3485,III-N,Rankin,84107,2001-07-28,2002-10-15,CORD,1,61YC00P00441
3484,III-N,Rankin,84115,2001-07-28,2002-10-15,CORD,1,61YC01P00497
37802,III-N,Rankin,84778,2014-10-01,2014-10-06,CORD,1,61YC14P01187
3717,III-N,Rankin,84808,2001-07-10,2001-08-30,CORD,1,61YC01P00009
3718,III-N,Rankin,84816,2001-07-10,2001-08-30,CORD,1,61YC01P00010
110,III-N,Rankin,84921,2001-01-04,2001-01-11,CORD,1,61YC01P00012
5261,III-N,Yazoo,85685,2001-08-29,2005-11-09,CORD,1,82YC02P00152
5263,III-N,Yazoo,85693,2001-08-29,2005-11-29,CORD,1,82YC01P00014
26534,III-N,Rankin,85804,2009-05-11,2011-03-25,CORD,1,61YC09P00611
111,II-W,Holmes,85898,2001-02-02,2004-06-29,CORD,1,26YC01P00001
7273,III-N,Rankin,87637,2003-06-24,2003-11-24,CORD,1,61YC01P00068
8255,III-N,Rankin,87637,2003-12-06,2004-03-09,CORD,2,61YC03P00423
8384,III-N,Yazoo,88838,2003-10-20,2008-02-06,CORD,1,82YC01P00079
2572,III-N,Rankin,89702,2001-08-28,2001-09-25,CORD,1,61YC01P00182
3988,III-N,Rankin,89702,2001-12-27,2002-01-07,CORD,2,61YC01P00182
4484,III-N,Rankin,89702,2002-03-07,2006-02-21,CORD,3,61YC01P00182
5262,III-N,Yazoo,90395,2001-08-29,2004-12-16,CORD,1,82YC02P00153
13262,IV-S,Lauderdale,91626,2006-02-09,2008-02-06,CORD,1,38YC06P00208
11122,III-N,Yazoo,93009,2005-04-11,2006-06-27,CORD,1,82YC05P00001
3630,III-N,Rankin,94811,2001-06-05,2002-04-09,CORD,1,61YC01P00099
12691,III-N,Rankin,95524,2005-10-22,2005-12-23,CORD,1,61YC05P00519
112,III-N,Rankin,96032,2001-02-16,2002-07-02,CORD,1,61YC01P00071
2319,III-N,Rankin,96458,2001-06-05,2002-04-02,CORD,1,61YC01P00427
15202,III-S,Hinds,96814,2006-10-17,2007-03-06,CORD,1,25YC06P02692
15203,III-S,Hinds,96822,2006-10-17,2007-02-06,CORD,1,25YC06P02693
15205,III-S,Hinds,96830,2006-10-17,2007-02-06,CORD,1,25YC06P02695
3443,III-N,Rankin,96946,2001-12-06,2001-12-13,CORD,1,61YC01P00100
4393,III-N,Rankin,96946,2002-02-07,2005-08-25,CORD,2,61YC01P00100
445,III-N,Rankin,97683,2001-02-24,2001-02-27,CORD,1,61YC01P00166
3580,III-N,Rankin,98655,2001-03-06,2002-06-04,CORD,1,61YC01P00097
746,III-N,Rankin,98663,2001-03-06,2002-06-04,CORD,1,61YC01P00098
33793,III-N,Rankin,98779,2013-08-09,2013-08-12,CORD,1,61YC13P01149
33794,III-N,Rankin,99511,2013-08-09,2013-08-12,CORD,1,61YC13P01151
2492,III-N,Rankin,99848,2001-03-09,2002-03-26,CORD,1,61YC01P00493
283,III-N,Rankin,100250,2001-03-09,2004-11-30,CORD,1,61YC01P00164
123,II-W,Holmes,100439,2001-02-28,2001-05-22,CORD,1,26YC01P00002
125,II-W,Holmes,100463,2001-02-28,2001-05-22,CORD,1,26YC01P00004
124,II-W,Holmes,100471,2001-02-28,2001-05-22,CORD,1,26YC01P00003
10840,III-N,Rankin,100781,2005-02-22,2005-11-04,CORD,1,61YC05P00127
22441,III-S,Hinds,100781,2009-08-28,2010-12-02,CORD,2,25YC09P01859
10851,III-N,Rankin,100838,2005-02-22,2005-11-04,CORD,1,61YC05P00130
8317,III-N,Yazoo,101850,2003-08-20,2005-03-14,CORD,1,82YC01P00051
5128,III-N,Madison,102016,1996-04-10,2000-05-17,CORD,1,45YC02P00030
314,IV-S,Scott,102113,1985-06-06,2001-09-12,CORD,1,62YC01P00006
419,IV-S,Kemper,102164,1989-05-19,2009-05-04,CORD,1,35YC01P00004
302,IV-S,Leake,102180,2000-12-13,2001-06-25,CORD,1,40YC01P00004
520,III-S,Hinds,102199,1985-08-20,2002-05-28,CORD,1,25YC01P00123
396,II-E,DeSoto,102202,1991-05-21,2004-05-04,CORD,1,17YC01P00026
3194,V-W,Warren,102261,2001-04-12,2002-05-14,CORD,1,75YC01P00311
479,III-S,Hinds,102342,1999-10-06,2002-06-05,CORD,1,25YC01P00075
480,III-S,Hinds,102350,2000-01-05,2002-06-05,CORD,1,25YC01P00076
482,III-S,Hinds,102369,2000-01-05,2002-06-05,CORD,1,25YC01P00078
483,III-S,Hinds,102377,2001-01-03,2003-07-07,CORD,1,25YC01P00079
801,IV-N,Lowndes,102385,1995-11-28,2001-10-27,CORD,1,44YC01P00063
268,III-S,Hinds,102458,1999-11-19,2003-09-30,CORD,1,25YC01P00008
269,III-S,Hinds,102466,1999-11-19,2003-09-30,CORD,1,25YC01P00009
33212,V-E,Copiah,102466,2012-10-23,2013-01-11,CORD,2,15YC12P00245
272,III-S,Hinds,102474,1999-11-19,2003-09-30,CORD,1,25YC01P00012
271,III-S,Hinds,102482,1999-11-19,2003-09-30,CORD,1,25YC01P00011
270,III-S,Hinds,102490,1999-11-19,2003-09-30,CORD,1,25YC01P00010
178,IV-N,Lowndes,102512,1985-05-03,2006-04-21,CORD,1,44YC01P00003
135,II-W,Leflore,102520,1998-10-09,2002-06-20,CORD,1,42YC01P00002
2390,II-E,Tate,102539,1996-08-02,2003-08-11,CORD,1,69YC01P00035
1974,II-E,Tate,102547,1996-08-02,2003-08-11,CORD,1,69YC01P00036
221,II-E,DeSoto,102598,1986-02-10,2002-03-21,CORD,1,17YC01P00010
222,II-E,DeSoto,102601,1986-02-10,2003-12-09,CORD,1,17YC01P00011
418,IV-S,Lauderdale,102776,2000-11-07,2006-12-16,CORD,1,38YC01P00023
316,I-N,Marshall,102806,2000-08-08,2002-10-08,CORD,1,47YC01P00005
317,I-N,Marshall,102814,2000-08-08,2002-10-08,CORD,1,47YC01P00006
24878,I-N,Marshall,102814,2010-06-16,2011-09-06,CORD,2,47YC10P00222
126,II-W,Leflore,102822,1997-09-18,2003-09-15,CORD,1,42YC01P00001
463,I-N,Marshall,102830,2000-05-10,2001-03-22,CORD,1,47YC01P00023
464,I-N,Marshall,102849,2000-05-10,2001-03-22,CORD,1,47YC01P00024
27416,I-N,Marshall,102849,2011-05-10,2011-07-05,CORD,2,47YC04P00156
393,III-S,Hinds,102865,1988-10-24,2005-04-06,CORD,1,25YC01P00038
2479,III-S,Hinds,102873,1988-10-24,2013-05-29,CORD,1,25YC01P00326
175,V-W,Warren,102881,1999-12-18,2002-06-12,CORD,1,75YC01P00005
375,III-S,Hinds,102954,1985-11-18,2002-10-01,CORD,1,25YC01P00034
2886,III-S,Hinds,102997,1999-05-26,2003-10-03,CORD,1,25YC01P00530
465,IV-N,Oktibbeha,103004,1990-05-24,2005-03-03,CORD,1,53YC01P00013
565,IV-N,Oktibbeha,103012,1990-08-09,2006-02-17,CORD,1,53YC01P00014
2402,II-E,Tate,103020,1998-07-24,2003-03-31,CORD,1,69YC01P00021
374,IV-N,Oktibbeha,103039,1986-07-13,2002-11-01,CORD,1,53YC01P00011
1609,II-E,DeSoto,103055,1997-07-28,2001-08-15,CORD,1,17YC01P00104
524,III-S,Hinds,103063,1991-04-15,2002-02-27,CORD,1,25YC01P00127
933,I-N,Tippah,103098,2000-06-08,2002-01-30,CORD,1,70YC01P00031
334,IV-S,Lauderdale,103101,2000-01-05,2002-04-23,CORD,1,38YC01P00016
385,III-S,Hinds,103128,1999-09-14,2004-09-30,CORD,1,25YC01P00036
395,III-S,Hinds,103136,1999-09-14,2004-09-30,CORD,1,25YC01P00039
1942,II-E,Panola,103144,1994-01-17,2009-12-10,CORD,1,54YC01P00033
258,II-E,Panola,103152,1989-02-04,2004-12-16,CORD,1,54YC01P00007
259,II-E,Panola,103160,1989-02-04,2005-12-15,CORD,1,54YC01P00008
315,I-S,Lafayette,103179,1998-01-22,2001-06-18,CORD,1,36YC01P00006
3229,V-W,Warren,103195,1997-08-07,2000-10-30,CORD,1,75YC01P00376
12908,V-W,Warren,103225,2005-12-06,2006-07-18,CORD,1,75YC05P00679
14549,V-W,Warren,103225,2006-09-19,2007-07-12,CORD,2,75YC06P00412
402,II-E,Panola,103233,1998-05-18,2004-02-06,CORD,1,54YC01P00014
770,V-W,Warren,103284,1991-06-06,2007-10-15,CORD,1,75YC01P00067
771,V-W,Warren,103292,1992-08-09,2001-05-21,CORD,1,75YC01P00068
2454,III-S,Hinds,103330,2000-04-04,2003-01-10,CORD,1,25YC01P00334
2661,III-S,Hinds,103411,2000-02-06,2003-01-14,CORD,1,25YC01P00446
738,V-W,Warren,103438,1996-06-19,2003-11-13,CORD,1,75YC01P00060
3579,V-W,Warren,103446,1984-07-19,2003-04-18,CORD,1,75YC01P00302
558,V-W,Warren,103454,1998-08-26,2003-12-16,CORD,1,75YC01P00051
908,V-W,Warren,103462,1998-08-26,2003-03-27,CORD,1,75YC01P00087
3282,III-S,Hinds,103489,1999-06-08,2004-10-12,CORD,1,25YC01P00331
2443,III-S,Hinds,103500,1999-11-22,2003-05-16,CORD,1,25YC01P00330
3409,III-S,Hinds,103543,1992-04-07,2006-11-17,CORD,1,25YC01P00040
5397,II-W,Leflore,103624,2000-12-19,2002-09-13,CORD,1,42YC01P00023
319,IV-N,Lowndes,103683,2000-10-05,2001-05-02,CORD,1,44YC01P00012
538,III-S,Hinds,103780,1992-12-20,2006-05-15,CORD,1,25YC01P00132
529,IV-N,Noxubee,103802,2000-12-12,2001-10-22,CORD,1,52YC01P00003
162,IV-S,Lauderdale,103829,1986-08-24,2002-06-11,CORD,1,38YC01P00002
179,IV-S,Lauderdale,103837,1986-08-24,2003-08-26,CORD,1,38YC01P00003
183,IV-S,Lauderdale,103845,1986-08-24,2005-05-30,CORD,1,38YC01P00004
2453,III-S,Hinds,103861,1997-04-08,2001-08-24,CORD,1,25YC01P00136
278,IV-S,Leake,103888,2000-09-25,2003-05-01,CORD,1,40YC01P00003
540,IV-N,Winston,103896,2000-01-18,2001-10-17,CORD,1,80YC01P00006
428,II-E,Panola,103926,1995-07-26,2002-04-04,CORD,1,54YC01P00015
430,II-E,Panola,103934,1995-07-26,2004-09-11,CORD,1,54YC01P00016
220,III-N,Madison,103942,1996-12-03,2002-11-30,CORD,1,45YC01P00009
481,III-S,Hinds,103985,1995-06-23,2001-06-26,CORD,1,25YC01P00077
348,III-S,Hinds,103993,1995-06-23,2001-07-25,CORD,1,25YC01P00080
2340,IV-N,Clay,104019,1999-12-21,2004-10-18,CORD,1,13YC01P00082
4802,IV-N,Lowndes,104027,2002-04-18,2005-09-08,CORD,1,44YC02P00091
218,IV-N,Noxubee,104051,2000-08-04,2003-05-12,CORD,1,52YC01P00002
